8869|10 Roosevelt Ci|37.4172352|-122.1196196
8860|11 Roosevelt Ci|37.4175066|-122.1200722
11175|12 Roosevelt Ci|37.4171269|-122.1197809
12381|14 Roosevelt Ci|37.4170136|-122.1199756
11210|15 Roosevelt Ci|37.4174294|-122.1202198
8846|16 Roosevelt Ci|37.4169498|-122.1201544
8861|17 Roosevelt Ci|37.4173527|-122.1204342
12382|18 Roosevelt Ci|37.4169162|-122.1203748
8847|20 Roosevelt Ci|37.4168815|-122.1205916
12975|210 E Meadow Dr|37.4193127|-122.1215637
11211|21 Roosevelt Ci|37.4173086|-122.1206656
2472|22 Roosevelt Ci|37.416887|-122.1208092
11212|23 Roosevelt Ci|37.4173443|-122.1208855
12974|240 E Meadow Dr|37.4195753|-122.1213243
12378|24 Roosevelt Ci|37.4169183|-122.121013
8843|26 Roosevelt Ci|37.4169476|-122.1211994
11213|27 Roosevelt Ci|37.4173933|-122.1210746
19648|28 Roosevelt Ci|37.417011|-122.121415
8870|2 Roosevelt Ci|37.4175591|-122.1188226
8842|30 Roosevelt Ci|37.41712|-122.121589
8862|31 Roosevelt Ci|37.4174546|-122.1212944
19647|32 Roosevelt Ci|37.4172262|-122.1217762
53892|32 Roosevelt Ci UNIT A|37.4172157|-122.1216581
8863|33 Roosevelt Ci|37.4176038|-122.1214588
8841|34 Roosevelt Ci|37.4173304|-122.1219297
13007|3530 South Ct|37.4203451|-122.1207231
13020|3535 South Ct|37.4207329|-122.1203857
13016|3540 Bryant St|37.4195855|-122.1211138
13006|3540 South Ct|37.4203019|-122.1205118
13011|3541 Bryant St|37.4200341|-122.1209187
11743|3547 South Ct|37.4207393|-122.1201837
13008|3548 South Ct|37.4202752|-122.1202754
13015|3550 Bryant St|37.4196037|-122.1208922
13009|3557 Bryant St|37.4200482|-122.1206597
13034|3559 South Ct|37.4207216|-122.120051
13014|3560 Bryant St|37.4196124|-122.1207066
54224|3560 Bryant St UNIT A|37.4196163|-122.1206236
11733|3566 South Ct|37.4202665|-122.1200833
13010|3571 Bryant St|37.4200355|-122.1204707
11746|3571 South Ct|37.4206798|-122.1198574
13013|3580 Bryant St|37.4195982|-122.1204511
13021|3580 South Ct|37.4202174|-122.1198667
13038|3583 South Ct|37.4206306|-122.1196951
11734|3585 Bryant St|37.4200113|-122.1202514
11747|3597 South Ct|37.4206013|-122.1195159
