lon lat cluster
-122.1388325 37.4280943 0
-122.1383192 37.4283796 0
-122.1373847 37.4289244 0
-122.1355108 37.4294755 0
-122.1341773 37.4301609 0
-122.132815 37.4314319 0
-122.1309758 37.4319971 0
-122.1296128 37.4322288 0
-122.1290168 37.4325577 0
-122.1277576 37.4337351 0
-122.1269988 37.4335877 0
-122.1265168 37.4345129 0
-122.1249495 37.4348415 0
-122.1243624 37.4356609 0
-122.1236255 37.4360585 0
-122.1223153 37.4358456 0
-122.1215972 37.4372483 0
-122.1205761 37.4372381 0
-122.1193657 37.4384467 0
-122.1186238 37.4398528 0
-122.1182951 37.4396931 0
-122.1179212 37.4393888 0
-122.1177953 37.4393806 0
-122.117762 37.4396256 0
-122.117474 37.4394895 0
-122.1167031 37.4387498 0
-122.1224849 37.4354355 0
-122.1239034 37.4349003 0
-122.1247819 37.4336264 0
-122.1254754 37.4328123 0
-122.1256816 37.4327091 0
-122.1258355 37.4324028 0
-122.1264376 37.4327313 0
-122.126217 37.4320657 0
-122.1268132 37.4327735 0
-122.1260201 37.4335404 0
-122.1246527 37.4327549 0
-122.1236279 37.4334732 0
-122.1225698 37.4342565 0
-122.1220752 37.4352442 0
-122.121147 37.4352572 0
-122.1201147 37.4360592 0
-122.1191667 37.4367067 0
-122.118517 37.4371263 0
-122.119894 37.4369984 0
-122.1204846 37.4381993 0
-122.119951 37.4390311 0
-122.1211837 37.4393374 0
-122.1215273 37.439828 0
-122.1218476 37.440407 0
-122.1233325 37.4416548 0
-122.1238092 37.4404414 0
-122.1246445 37.4400027 0
-122.1256507 37.4408552 0
-122.1250171 37.4414729 0
-122.1254717 37.4424689 0
-122.1262112 37.4414027 0
-122.1270911 37.4408403 0
-122.1176093 37.4340609 0
-122.1173713 37.4349835 0
-122.117829 37.4357379 0
-122.1165332 37.4364192 0
-122.1158762 37.435367 0
-122.1148941 37.4353196 0
-122.1137957 37.4356055 0
-122.1145913 37.4361275 0
-122.1154559 37.4361089 0
-122.1161403 37.43654 0
-122.1172714 37.437343 0
-122.1183736 37.4379507 0
-122.1196409 37.4395414 0
-122.1205557 37.4400171 0
-122.1212796 37.4409883 0
-122.1230188 37.4420109 0
-122.1242113 37.4429339 0
-122.1249099 37.4433809 0
-122.1139467 37.4373897 0
-122.1168704 37.4383338 0
-122.1183253 37.4392286 0
-122.1198899 37.4406228 0
-122.1192495 37.4407419 0
-122.1186297 37.4410494 0
-122.1171921 37.4400357 0
-122.1160888 37.4394151 0
-122.1160311 37.4389415 0
-122.1288589 37.433422 0
-122.1267713 37.4351222 0
-122.1268831 37.4361978 0
-122.1268092 37.437157 0
-122.1288384 37.4378022 0
-122.1274303 37.4386179 0
-122.1267416 37.4393258 0
-122.127914 37.4395111 0
-122.1285456 37.4388543 0
-122.1296301 37.4383587 0
-122.1297672 37.437945 0
-122.1289574 37.4374607 0
-122.1282461 37.4364647 0
-122.126996 37.4355789 0
-122.1262008 37.4351067 0
-122.1246225 37.4345799 0
-122.1229581 37.4330433 0
-122.1216641 37.4328159 0
-122.1205099 37.432333 0
-122.1198216 37.4316014 0
-122.1208809 37.4312323 0
-122.1216773 37.4305102 0
-122.1220826 37.4306887 0
-122.1211547 37.4305258 0
-122.1132869 37.4354761 0
-122.1157909 37.4338389 0
-122.1178148 37.4327851 0
-122.1208294 37.4305582 0
-122.1217488 37.4305796 0
-122.1226706 37.4298871 0
-122.1233363 37.4283319 0
-122.1237592 37.4274882 0
-122.1254324 37.4275823 0
-122.1279324 37.4251412 0
-122.1305691 37.4240105 0
-122.1302266 37.4239654 0
-122.1264653 37.4245389 0
-122.1280669 37.4278974 0
-122.1287737 37.4282889 0
