lon lat
-122.1187614 37.438749
-122.122197 37.4409339
-122.1181074 37.4391015
-122.1167716 37.4376536
-122.1217784 37.4413486
-122.1201513 37.440923
-122.122184 37.4415956
-122.1186936 37.440284
-122.1215257 37.4416033
-122.1132869 37.4354761
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.1186238 37.4398528
-122.1329284 37.4242321
-122.1167691 37.4393374
-122.1167122 37.4392936
-122.116644 37.439259
-122.1165445 37.439168
-122.1308291 37.4230312
-122.1228232 37.4431832
-122.1183827 37.4398095
-122.1182816 37.4397718
-122.1183619 37.4397501
-122.1160905 37.4389044
-122.1160311 37.4389415
-122.11595 37.4381999
-122.121304 37.4425527
-122.1204555 37.4420098
-122.1211272 37.4427927
-122.1162856 37.4396254
-122.1228226 37.4436095
-122.1206842 37.4435153
-122.121101 37.4430314
-122.1224501 37.4429457
-122.1213043 37.4431569
-122.1129631 37.4356871
-122.1192495 37.4407419
-122.1222712 37.4428847
-122.1227409 37.4437403
-122.1194258 37.4406262
-122.1178703 37.4396234
-122.1219098 37.4441373
-122.12132 37.4446609
-122.1207541 37.4445392
-122.1215373 37.4429626
-122.1204757 37.4413284
-122.1224237 37.4440513
-122.1127524 37.435734
-122.1177953 37.4393806
-122.1170593 37.4419153
-122.116847 37.4417945
-122.117474 37.4394895
-122.1388325 37.4280943
-122.1172431 37.4396162
-122.1164441 37.4413303
-122.1162221 37.4412011
-122.1176444 37.4398243
-122.1192907 37.4444715
-122.1196962 37.4444252
-122.1180413 37.4401858
-122.1204038 37.445199
-122.134918 37.42559
-122.1381286 37.427988
-122.138253 37.4285026
-122.1320541 37.4244118
-122.1320833 37.4243828
-122.1321866 37.4242743
-122.1338932 37.4266354
-122.1302266 37.4239654
-122.1302266 37.4239654
-122.1373847 37.4289244
-122.1315994 37.4248715
-122.1372883 37.4290164
-122.1266687 37.4219152
-122.136588 37.4318297
-122.1301204 37.4380991
-122.1368539 37.4315148
-122.1347169 37.4335064
-122.1232554 37.4448241
-122.1370536 37.4311
-122.133063 37.4351357
-122.1255888 37.4426653
-122.1365835 37.4313706
-122.1352567 37.4328787
-122.132331 37.4355867
-122.13688 37.4309572
-122.1363124 37.4314754
-122.1254717 37.4424689
-122.1379003 37.4296813
-122.12464 37.4434315
-122.1388125 37.4288121
-122.1387625 37.4288533
-122.1269925 37.4407597
-122.1367551 37.4308997
-122.1219549 37.4453477
-122.1221853 37.4454876
-122.1368104 37.4305734
-122.1320923 37.4356104
-122.121903 37.4456116
-122.1218866 37.4455427
-122.1220746 37.4456617
-122.1219012 37.4450568
-122.1217316 37.444959
-122.122699 37.4447713
-122.121525 37.4450579
-122.1216888 37.445163
-122.1212979 37.445244
-122.1214283 37.4453293
-122.1318486 37.4251396
-122.1389465 37.428498
-122.1211525 37.445391
-122.1212829 37.4454727
-122.1366168 37.4304384
-122.121584 37.4458672
-122.122798 37.4445014
-122.1213132 37.4459374
-122.1361695 37.4311241
-122.1212369 37.4457764
-122.1210989 37.4456877
-122.1222107 37.4448934
-122.1364004 37.4306738
-122.1208568 37.4457665
-122.1210101 37.4458717
-122.1355996 37.4317713
-122.1251228 37.4425507
-122.134434 37.4329745
-122.1377197 37.4291201
-122.12503 37.4421772
-122.138488 37.4286162
-122.1319293 37.425184
-122.1387671 37.4282971
-122.1381898 37.4288511
-122.1248725 37.4420858
-122.1344647 37.4324399
-122.1356275 37.431177
-122.131869 37.4352954
-122.1352712 37.4316209
-122.1335815 37.4333205
-122.1362879 37.4295647
-122.1359604 37.4291703
-122.1371902 37.428228
-122.1385141 37.4277596
-122.1384763 37.4277035
-122.13242 37.4330941
-122.1354152 37.4310357
-122.1288384 37.4378022
-122.1321707 37.4334301
-122.1242113 37.4429339
-122.1234209 37.443003
-122.1262524 37.4223019
-122.133576 37.4325389
-122.1319466 37.4333797
-122.1239987 37.4429875
-122.1286336 37.4376204
-122.1325066 37.4325364
-122.1365802 37.4283206
-122.1379511 37.4274319
-122.1334239 37.4324213
-122.1337874 37.4320656
-122.1244325 37.4421264
-122.1364238 37.4282078
-122.1318233 37.4340571
-122.1360435 37.4285736
-122.1315692 37.4341278
-122.1312104 37.4342757
-122.1239339 37.4425308
-122.1309383 37.4333721
-122.1356524 37.4288894
-122.1202152 37.4453855
-122.1376805 37.4272764
-122.1285003 37.4371517
-122.1342726 37.4309001
-122.137258 37.4275969
-122.1374952 37.4271937
-122.1371522 37.4274846
-122.1365104 37.4277554
-122.1361056 37.4280242
-122.13326 37.4317435
-122.1257275 37.4392877
-122.1328091 37.4319712
-122.1301082 37.4343755
-122.1362876 37.427591
-122.1372517 37.4270417
-122.1367911 37.4272956
-122.1347856 37.4294726
-122.1298836 37.4342188
-122.1334062 37.4304331
-122.130386 37.4337607
-122.1342201 37.4297698
-122.1354612 37.4282429
-122.1330693 37.4305925
-122.1341489 37.4296866
-122.1369281 37.42692
-122.1368876 37.4269509
-122.1364866 37.4271134
-122.1328924 37.430494
-122.1264981 37.4369053
-122.1367461 37.4267795
-122.1366802 37.4268512
-122.1366277 37.4266277
-122.1226785 37.4417936
-122.1348257 37.4283736
-122.133834 37.4294676
-122.1351575 37.428066
-122.1334991 37.4298454
-122.1259443 37.4362952
-122.1326406 37.4303377
-122.1364645 37.4265353
-122.1295845 37.4340137
-122.1300819 37.4334902
-122.1335245 37.4292981
-122.1321878 37.4306139
-122.1361847 37.4264775
-122.1325046 37.4302414
-122.1272329 37.4358285
-122.1355299 37.427109
-122.1331684 37.429612
-122.129619 37.4332393
-122.1243616 37.4384344
-122.1333517 37.4291988
-122.13407 37.4284765
-122.1215768 37.4411389
-122.1361768 37.4263625
-122.1349763 37.4273273
-122.129452 37.4322966
-122.1344564 37.4276028
-122.1305617 37.4310183
-122.1337658 37.4284767
-122.1337294 37.4288266
-122.1236893 37.4385357
-122.1289808 37.4335083
-122.1321072 37.4299984
-122.1287949 37.4322882
-122.135543 37.4265119
-122.135823 37.4261711
-122.1293377 37.4319712
-122.1343031 37.427499
-122.1301875 37.4313
-122.1293253 37.433066
-122.128856 37.4333313
-122.1290515 37.4320113
-122.1285051 37.4321152
-122.1284514 37.431995
-122.1284118 37.4320363
-122.130867 37.4308146
-122.1291005 37.4329546
-122.1272189 37.4350659
-122.1287949 37.4326491
-122.1355204 37.4261084
-122.1272807 37.4348828
-122.1314962 37.4301774
-122.1266304 37.4350225
-122.1352506 37.4263205
-122.1210535 37.4403392
-122.1286882 37.4325806
-122.1319302 37.4295067
-122.1332836 37.4280373
-122.13169 37.429772
-122.1299156 37.430565
-122.1259575 37.4354833
-122.123075 37.4376838
-122.131827 37.4294073
-122.1295222 37.4309203
-122.1285112 37.4324701
-122.1312153 37.4299236
-122.1235343 37.4373008
-122.1328108 37.4282576
-122.1344965 37.42592
-122.1304695 37.4299832
-122.1328168 37.427704
-122.1342613 37.4261971
-122.1310577 37.4293307
-122.1339849 37.4261839
-122.1253111 37.4345459
-122.1308908 37.4292609
-122.1345939 37.4254379
-122.1318066 37.428216
-122.1345577 37.4252779
-122.1344647 37.4253937
-122.134052 37.4255871
-122.1320282 37.427755
-122.1342973 37.425287
-122.1282158 37.4323845
-122.1276607 37.4318908
-122.1318517 37.4276534
-122.1314666 37.4280331
-122.13423 37.4251616
-122.1332165 37.4261659
-122.1202501 37.4395286
-122.1341043 37.4250092
-122.1163587 37.4417996
-122.1163269 37.4417511
-122.1309754 37.4282401
-122.1270931 37.4322773
-122.1270931 37.4322773
-122.1337483 37.4253766
-122.1162518 37.4416828
-122.1222662 37.437055
-122.1304792 37.4285851
-122.1298864 37.4291569
-122.1311995 37.4278192
-122.1337582 37.424844
-122.1159865 37.4414348
-122.1335923 37.4247836
-122.1322233 37.426679
