lon lat
-122.1187614 37.438749
-122.1222988 37.4408214
-122.1226813 37.4411628
-122.1185687 37.4388965
-122.119235 37.4404489
-122.122197 37.4409339
-122.1324908 37.4239544
-122.1183945 37.4385341
-122.1195656 37.4401683
-122.1229882 37.4423855
-122.1181074 37.4391015
-122.1134283 37.4353615
-122.1234508 37.4425661
-122.1205424 37.4409414
-122.122616 37.441272
-122.1167716 37.4376536
-122.1193627 37.440064
-122.1223026 37.4414906
-122.1203524 37.4409074
-122.1328399 37.4241879
-122.1217784 37.4413486
-122.1180837 37.4386905
-122.1191356 37.4400858
-122.1202471 37.4413338
-122.1233533 37.4426813
-122.1201513 37.440923
-122.1165977 37.4377749
-122.1188917 37.4401569
-122.1216308 37.4415008
-122.1199394 37.4410381
-122.122184 37.4415956
-122.1385132 37.4278466
-122.1324547 37.4239322
-122.1309005 37.4229595
-122.1176424 37.438936
-122.1186936 37.440284
-122.122112 37.4417084
-122.1187117 37.4398114
-122.1190313 37.440538
-122.1231748 37.4428615
-122.1215257 37.4416033
-122.1165482 37.4373179
-122.1197836 37.4411851
-122.1223663 37.4418635
-122.1187389 37.4398453
-122.1132869 37.4354761
-122.1164205 37.4378811
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1167031 37.4387498
-122.1185027 37.44035
-122.1222033 37.4419753
-122.1186696 37.4398793
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.11646 37.4386114
-122.1196848 37.4413489
-122.1219737 37.441838
-122.1186238 37.4398528
-122.1213929 37.4417306
-122.1219103 37.4419539
-122.1220843 37.4420573
-122.1185724 37.4398797
-122.1329284 37.4242321
-122.1168424 37.4393803
-122.1184172 37.4405632
-122.121788 37.4420525
-122.1186025 37.4399115
-122.1167691 37.4393374
-122.1196667 37.4415139
-122.1185392 37.4399504
-122.116304 37.437967
-122.1213023 37.4418185
-122.1167122 37.4392936
-122.1162212 37.4375152
-122.1184109 37.4407035
-122.1216621 37.4421732
-122.1185052 37.4399238
-122.116644 37.439259
-122.1196983 37.4416567
-122.1218707 37.4424073
-122.1184504 37.4399004
-122.1188632 37.4406767
-122.1165445 37.439168
-122.121558 37.4423028
-122.1183774 37.4398909
-122.120159 37.4415206
-122.1324203 37.4240292
-122.1308291 37.4230312
-122.1211522 37.4419798
-122.1164703 37.4391343
-122.1184756 37.4409082
-122.118332 37.4398493
-122.1228232 37.4431832
-122.1230884 37.4433528
-122.1164211 37.4390752
-122.1198639 37.4418197
-122.1235038 37.4436143
-122.1183827 37.4398095
-122.1161587 37.4380827
-122.123758 37.4437716
-122.1163516 37.4390392
-122.1186297 37.4410494
-122.1182816 37.4397718
-122.113125 37.4355886
-122.1210629 37.4420765
-122.1161917 37.4387995
-122.1200174 37.4419301
-122.1183619 37.4397501
-122.1227213 37.4432923
-122.1161566 37.4388563
-122.1182379 37.4397239
-122.1329955 37.4242845
-122.1160905 37.4389044
-122.1188056 37.4411449
-122.1182951 37.4396931
-122.1209337 37.4422034
-122.1230013 37.4434427
-122.1160311 37.4389415
-122.1202279 37.4420399
-122.1214293 37.4424511
-122.1234199 37.4437091
-122.1182392 37.4395722
-122.11595 37.4381999
-122.1225442 37.4434371
-122.1236557 37.4438549
-122.1159473 37.4392383
-122.1190227 37.4412145
-122.121304 37.4425527
-122.1241135 37.4441404
-122.1181894 37.439595
-122.1161265 37.4393514
-122.1158808 37.4377528
-122.1204555 37.4420098
-122.1212231 37.4426775
-122.1181195 37.4396194
-122.1208167 37.442338
-122.1160888 37.4394151
-122.1211272 37.4427927
-122.1180637 37.4396553
-122.1223023 37.4434503
-122.1323782 37.4240042
-122.1308013 37.423094
-122.1162856 37.4396254
-122.1192499 37.4411951
-122.118021 37.4397099
-122.1203498 37.4416157
-122.1209337 37.4429244
-122.1228226 37.4436095
-122.1163689 37.4396042
-122.1206746 37.4419516
-122.1205463 37.4433507
-122.1206786 37.443511
-122.1206842 37.4435153
-122.1232386 37.4438955
-122.1179692 37.4397549
-122.1158378 37.4382898
-122.1190623 37.4408318
-122.121101 37.4430314
-122.1207168 37.4424253
-122.1235037 37.4440518
-122.116434 37.4395627
-122.1194652 37.4410939
-122.1224501 37.4429457
-122.1239427 37.4443229
-122.1179164 37.4398027
-122.120524 37.4415113
-122.1220873 37.4433068
-122.1213043 37.4431569
-122.1164955 37.4395182
-122.1208056 37.4418456
-122.1209064 37.4434507
-122.1177245 37.4397006
-122.1129631 37.4356871
-122.1214957 37.4432827
-122.1165676 37.4394881
-122.1212101 37.4436407
-122.1176888 37.4396681
-122.1192495 37.4407419
-122.1216825 37.4434049
-122.1387944 37.4281394
-122.1330831 37.4243409
-122.1196238 37.4409894
-122.1222712 37.4428847
-122.1214262 37.4438815
-122.117762 37.4396256
-122.1219551 37.4432234
-122.1219045 37.4435449
-122.1227409 37.4437403
-122.1209634 37.4416866
-122.1231524 37.4440126
-122.117807 37.439663
-122.1156773 37.43844
-122.1194258 37.4406262
-122.1221112 37.4436695
-122.1234085 37.4441579
-122.1197794 37.4408158
-122.1238252 37.4444282
-122.1178703 37.4396234
-122.1223065 37.4438106
-122.1221147 37.4427623
-122.1179029 37.4395291
-122.1217492 37.4431041
-122.1219098 37.4441373
-122.1155875 37.4379411
-122.1210982 37.4415095
-122.1210739 37.4442234
-122.117835 37.4395848
-122.12132 37.4446609
-122.1198899 37.4406228
-122.1219186 37.4426465
-122.1209192 37.4440183
-122.1179544 37.4395789
-122.1207541 37.4445392
-122.122562 37.4439177
-122.1210288 37.4413182
-122.1179789 37.4394611
-122.1154534 37.4385194
-122.1215373 37.4429626
-122.1200444 37.4440931
-122.1198175 37.4404576
-122.1202714 37.4436311
-122.1179221 37.43947
-122.1204757 37.4413284
-122.1216032 37.4427853
-122.1209209 37.4411938
-122.1178747 37.439415
-122.1178174 37.4419222
-122.1224237 37.4440513
-122.1223896 37.4439517
-122.1200741 37.4403053
-122.1179212 37.4393888
-122.1127052 37.4357978
-122.1127524 37.435734
-122.1327129 37.4243055
-122.1178474 37.4393486
-122.1171599 37.4418602
-122.1169882 37.4416973
-122.1177953 37.4393806
-122.1177575 37.4393242
-122.117098 37.4418932
-122.1169316 37.4417342
-122.1178016 37.439277
-122.1170593 37.4419153
-122.1168953 37.4417596
-122.1176472 37.4393945
-122.1170058 37.4419469
-122.1349834 37.4255227
-122.116847 37.4417945
-122.1175887 37.4394186
-122.116974 37.441967
-122.1168152 37.4418171
-122.1175365 37.4394548
-122.117474 37.4394895
-122.1169165 37.4419972
-122.1167695 37.4418477
-122.1174175 37.4395172
-122.1173628 37.439547
-122.1388325 37.4280943
-122.1327823 37.4243506
-122.1173013 37.4395787
-122.116539 37.441274
-122.1163685 37.4411071
-122.1172431 37.4396162
-122.1175005 37.4396307
-122.1164822 37.4413088
-122.1163126 37.4411437
-122.1175338 37.4396828
-122.1164441 37.4413303
-122.1162768 37.4411658
-122.1226695 37.4454353
-122.1175704 37.4397326
-122.1163871 37.4413623
-122.1162221 37.4412011
-122.1223985 37.4452676
-122.1176047 37.4397782
-122.116355 37.4413839
-122.1161872 37.4412247
-122.1176444 37.4398243
-122.1177345 37.4398526
-122.1163054 37.4414092
-122.1161319 37.441265
-122.1177886 37.4398851
-122.1192907 37.4444715
-122.1178407 37.4399279
-122.1328838 37.4244233
-122.1176461 37.4395679
-122.1182768 37.440054
-122.1196962 37.4444252
-122.1182012 37.4400813
-122.1181493 37.4401185
-122.1180881 37.4401552
-122.1198714 37.4447973
-122.1180413 37.4401858
-122.1201231 37.4448445
-122.1329631 37.4244725
-122.1202596 37.4449302
-122.1383707 37.4278166
-122.1204038 37.445199
-122.1206499 37.4450325
-122.138633 37.4282051
-122.1206684 37.4454539
-122.1383103 37.427924
-122.134918 37.42559
-122.1387043 37.4281804
-122.1382601 37.4278857
-122.1382209 37.4278327
-122.1352649 37.4258346
-122.1381286 37.427988
-122.1347979 37.4257123
-122.1351763 37.4259302
-122.1383192 37.4283796
-122.1382718 37.4284039
-122.138253 37.4285026
-122.1379452 37.428172
-122.1228409 37.4183955
-122.134711 37.4258009
-122.134903 37.4261088
-122.1320541 37.4244118
-122.1341532 37.4262634
-122.1270328 37.4210473
-122.1324442 37.4245181
-122.1273373 37.4212336
-122.1320833 37.4243828
-122.1325341 37.4245881
-122.1321128 37.4243507
-122.1381451 37.4285513
-122.1321457 37.4243101
-122.1321866 37.4242743
-122.1344435 37.4266126
-122.1340792 37.4263977
-122.1379485 37.4286609
-122.1375182 37.4283328
-122.1338932 37.4266354
-122.1373911 37.4284248
-122.1302266 37.4239654
-122.1302266 37.4239654
-122.1302266 37.4239654
-122.1302266 37.4239654
-122.1302266 37.4239654
-122.1302266 37.4239654
-122.1302266 37.4239654
-122.1302266 37.4239654
-122.1302266 37.4239654
-122.1302266 37.4239654
-122.1302266 37.4239654
-122.1375575 37.4288577
-122.1315615 37.424914
-122.1373847 37.4289244
-122.1224698 37.4188075
-122.1314747 37.4248565
-122.1313782 37.4247951
-122.1269337 37.4216369
-122.1315994 37.4248715
-122.1372534 37.4284845
-122.1315169 37.4248188
-122.1314124 37.4247584
-122.1266194 37.4214532
-122.1372883 37.4290164
-122.131645 37.4248236
-122.1315585 37.4247716
-122.1314662 37.4246963
-122.1371181 37.4285756
-122.1266687 37.4219152
-122.1320633 37.4250432
-122.1377555 37.4306069
-122.1383899 37.4299994
-122.1304638 37.4377696
-122.136588 37.4318297
-122.1374579 37.4309678
-122.139172 37.4290348
-122.1324943 37.4357055
-122.1380692 37.4303668
-122.1301204 37.4380991
-122.1371771 37.431218
-122.138613 37.4297339
-122.1391223 37.4290721
-122.1390895 37.4289792
-122.1368539 37.4315148
-122.1390468 37.4290172
-122.1371215 37.4290798
-122.1376264 37.430509
-122.1253122 37.4429433
-122.1347169 37.4335064
-122.1347169 37.4335064
-122.1347169 37.4335064
-122.1347169 37.4335064
-122.1347169 37.4335064
-122.1232554 37.4448241
-122.137274 37.4308644
-122.1250481 37.4432463
-122.1275519 37.4407968
-122.1378671 37.4302862
-122.1370536 37.4311
-122.1364328 37.431716
-122.1384683 37.4296797
-122.1277802 37.4405767
-122.1259897 37.4423102
-122.133063 37.4351357
-122.138217 37.4299169
-122.1389894 37.4289256
-122.1344252 37.4337972
-122.1256739 37.4425753
-122.1255888 37.4426653
-122.1328513 37.4353162
-122.1228322 37.4452774
-122.1349667 37.4332445
-122.1389455 37.4289625
-122.1365835 37.4313706
-122.1272837 37.4409697
-122.1374696 37.430426
-122.1374164 37.4303961
-122.1230995 37.4450213
-122.1352567 37.4328787
-122.1380791 37.4297958
-122.1303055 37.4376724
-122.1371188 37.430786
-122.124191 37.4439976
-122.132331 37.4355867
-122.1377478 37.430158
-122.1299308 37.4380402
-122.1360916 37.4321101
-122.1245182 37.4436843
-122.13688 37.4309572
-122.1383045 37.4295714
-122.1249099 37.4433809
-122.1389331 37.4288754
-122.1362963 37.4316168
-122.1363124 37.4314754
-122.1230853 37.4447221
-122.1342382 37.4337056
-122.1388444 37.4292997
-122.1388985 37.4289203
-122.1254717 37.4424689
-122.1270911 37.4408403
-122.1232994 37.4443428
-122.1373395 37.4302736
-122.1351053 37.4327912
-122.1379003 37.4296813
-122.134611 37.4333631
-122.1369492 37.4306502
-122.1226102 37.4451611
-122.1347946 37.4331412
-122.12464 37.4434315
-122.1375749 37.4300395
-122.1359723 37.4319821
-122.1228804 37.444862
-122.1381809 37.4294725
-122.1388125 37.4288121
-122.1243986 37.4436115
-122.1276651 37.4405226
-122.1357954 37.4321686
-122.136083 37.431502
-122.1387625 37.4288533
-122.13871 37.4292151
-122.1254058 37.4427328
-122.1229039 37.4445814
-122.1357343 37.4319177
-122.1269925 37.4407597
-122.1371487 37.4301829
-122.1349442 37.4327001
-122.1377255 37.4295654
-122.1301223 37.4376203
-122.1367551 37.4308997
-122.1343889 37.4332468
-122.1220948 37.4454845
-122.12234 37.4455915
-122.1219943 37.4453698
-122.1219549 37.4453477
-122.1219185 37.4453208
-122.1223035 37.4455622
-122.1222626 37.4455354
-122.1222247 37.4455121
-122.1221853 37.4454876
-122.1221457 37.4454583
-122.122108 37.4454397
-122.12207 37.4454117
-122.1220306 37.4453884
-122.1368104 37.4305734
-122.1253249 37.4423869
-122.1346311 37.4330592
-122.1387302 37.4287674
-122.132178 37.4355008
-122.1320923 37.4356104
-122.1373902 37.4299843
-122.1297672 37.437945
-122.1363881 37.4312538
-122.1341055 37.4336193
-122.121903 37.4456116
-122.1217715 37.4454775
-122.1221111 37.4456898
-122.1218049 37.4454985
-122.1218563 37.445524
-122.1218866 37.4455427
-122.1219261 37.4455731
-122.1219594 37.4455917
-122.1220019 37.4456198
-122.1220353 37.4456408
-122.1220746 37.4456617
-122.137968 37.4293437
-122.1217341 37.4449881
-122.1219346 37.4450814
-122.121636 37.4448971
-122.1219012 37.4450568
-122.1218619 37.4450371
-122.121836 37.4450183
-122.1217967 37.4449962
-122.1217664 37.4449776
-122.1217316 37.444959
-122.1217027 37.4449379
-122.1216679 37.4449181
-122.1224167 37.4450259
-122.1386733 37.4288099
-122.122699 37.4447713
-122.1241752 37.4434865
-122.1216065 37.4451594
-122.1214992 37.4450404
-122.1217934 37.4452283
-122.121525 37.4450579
-122.121557 37.4450825
-122.1215903 37.4451012
-122.1216265 37.4451185
-122.1216509 37.4451409
-122.1216888 37.445163
-122.1217177 37.445184
-122.1217615 37.4452073
-122.1213929 37.4453512
-122.121586 37.4454272
-122.1212979 37.445244
-122.1215572 37.4454085
-122.1215224 37.4453923
-122.1214891 37.4453725
-122.1214602 37.4453503
-122.1214283 37.4453293
-122.121389 37.4453083
-122.1213527 37.4452874
-122.1213237 37.4452639
-122.1244712 37.4432856
-122.1318486 37.4251396
-122.12677 37.4406405
-122.1369791 37.4301024
-122.1255494 37.4420405
-122.1385072 37.4290927
-122.1389465 37.428498
-122.1375718 37.4295002
-122.1365825 37.4307937
-122.1359597 37.4314098
-122.1212523 37.4455088
-122.1211525 37.445391
-122.1214541 37.4455752
-122.1211752 37.4454038
-122.1212147 37.4454307
-122.1212525 37.4454516
-122.1212829 37.4454727
-122.1213147 37.4454937
-122.121348 37.4455111
-122.1213783 37.4455298
-122.1214132 37.4455531
-122.1366168 37.4304384
-122.1385795 37.4287275
-122.1372342 37.4298413
-122.1215094 37.4458582
-122.1216195 37.4458877
-122.121584 37.4458672
-122.1215541 37.4458518
-122.1215231 37.4458315
-122.1214858 37.4458084
-122.1214622 37.4457916
-122.122798 37.4445014
-122.125203 37.4422863
-122.1274905 37.4404151
-122.1213059 37.4459769
-122.1212832 37.4459178
-122.1213132 37.4459374
-122.1213505 37.4459605
-122.1213833 37.4459808
-122.1385654 37.428705
-122.1272553 37.4406256
-122.1361695 37.4311241
-122.1338995 37.4334868
-122.1354191 37.4319721
-122.1342458 37.4331776
-122.1210589 37.4457049
-122.1212369 37.4457764
-122.1209443 37.4455944
-122.121202 37.445753
-122.1211671 37.4457296
-122.1211323 37.445711
-122.1210989 37.4456877
-122.1210671 37.4456714
-122.1210411 37.4456443
-122.1210108 37.4456269
-122.1209775 37.4456083
-122.1222107 37.4448934
-122.1224633 37.4446254
-122.1347869 37.4326353
-122.1388894 37.4284403
-122.1240697 37.4434094
-122.1364004 37.4306738
-122.120896 37.4458506
-122.1208053 37.445735
-122.121101 37.4459241
-122.1208311 37.4457526
-122.1208568 37.4457665
-122.1208856 37.4457864
-122.1209176 37.4458098
-122.1209478 37.4458249
-122.1209828 37.4458518
-122.1210101 37.4458717
-122.1210495 37.4458962
-122.1385358 37.4286715
-122.1272628 37.4402478
-122.1355996 37.4317713
-122.1355996 37.4317713
-122.1266502 37.4405553
-122.1229978 37.44415
-122.1368199 37.4299615
-122.1368147 37.4300401
-122.1251228 37.4425507
-122.1374444 37.4294012
-122.129955 37.4375121
-122.1357694 37.4313023
-122.1364857 37.4303638
-122.134434 37.4329745
-122.1320177 37.4354023
-122.13708 37.4297116
-122.1296126 37.4378474
-122.1383859 37.4290216
-122.1377197 37.4291201
-122.1244447 37.4431153
-122.1385049 37.4286365
-122.1252941 37.4418742
-122.1362927 37.4302449
