lon lat label
-122.1184522 37.4158805 3708
-122.1185378 37.4158824 3708
-122.1186846 37.4159027 3712
-122.1188959 37.4159547 3716
-122.1190789 37.4161142 3720
-122.1191752 37.4162447 3726
-122.1192038 37.4163822 3732
-122.1191733 37.4165527 3738
