lon lat cluster
-122.1388325 37.4280943 0
-122.1383192 37.4283796 0
-122.1373847 37.4289244 0
-122.1355108 37.4294755 0
-122.1341773 37.4301609 0
-122.132815 37.4314319 0
-122.1309758 37.4319971 0
-122.1296128 37.4322288 0
-122.1290168 37.4325577 0
-122.1277576 37.4337351 0
-122.1269988 37.4335877 0
-122.1265168 37.4345129 0
-122.1249495 37.4348415 0
-122.1243624 37.4356609 0
-122.1236255 37.4360585 0
-122.1223153 37.4358456 0
-122.1215972 37.4372483 0
-122.1205761 37.4372381 0
-122.1193657 37.4384467 0
-122.1186238 37.4398528 0
-122.1182951 37.4396931 0
-122.1179212 37.4393888 0
-122.1177953 37.4393806 0
-122.117762 37.4396256 0
-122.117474 37.4394895 0
-122.1167031 37.4387498 0
-122.1277803 37.4258715 0
-122.1252451 37.4276835 0
-122.1237661 37.4280445 0
-122.1231844 37.4283917 0
-122.1223185 37.4298127 0
-122.1213538 37.4304254 0
-122.1203368 37.4308434 0
-122.1177622 37.4329763 0
-122.1154886 37.4340526 0
-122.1129631 37.4356871 0
-122.1211672 37.4303468 0
-122.1223456 37.430088 0
-122.1336012 37.43387 0
-122.1297672 37.437945 0
-122.1289574 37.4374607 0
-122.1282461 37.4364647 0
-122.126996 37.4355789 0
-122.1262008 37.4351067 0
-122.1246225 37.4345799 0
-122.1229581 37.4330433 0
-122.1216641 37.4328159 0
-122.1205099 37.432333 0
-122.1198216 37.4316014 0
-122.1317629 37.4346436 0
-122.130386 37.4337607 0
-122.1291953 37.4342838 0
-122.1289808 37.4335083 0
-122.1285112 37.4324701 0
-122.1243472 37.4320575 0
-122.1238994 37.4305187 0
-122.1241288 37.4295596 0
-122.1235639 37.4293073 0
-122.123161 37.4291852 0
-122.1200736 37.4271442 0
-122.1176551 37.4257027 0
-122.1160724 37.4247072 0
-122.1341055 37.4336193 0
-122.1303549 37.4335946 0
-122.132332 37.4325786 0
-122.1317075 37.4334377 0
-122.1309383 37.4333721 0
-122.1268831 37.4361978 0
-122.1268092 37.437157 0
-122.1288384 37.4378022 0
-122.1274303 37.4386179 0
-122.1267416 37.4393258 0
-122.1286696 37.4332885 0
-122.1275468 37.4344973 0
-122.1302258 37.4308066 0
-122.1291384 37.4319308 0
-122.128614 37.432238 0
-122.1316203 37.4305743 0
-122.1267713 37.4351222 0
-122.1270931 37.4322773 0
-122.1263649 37.4318444 0
-122.1242447 37.4307313 0
-122.1238994 37.4305187 0
-122.1228444 37.4359512 0
-122.1187181 37.4377349 0
-122.1190137 37.4368111 0
-122.1199321 37.4361528 0
-122.1210431 37.4353682 0
-122.1216763 37.4349436 0
-122.1226557 37.4347695 0
-122.1233636 37.4341861 0
-122.1244617 37.4328871 0
-122.1244399 37.4323746 0
-122.1234357 37.4322925 0
-122.1214349 37.4338224 0
-122.1208567 37.4334236 0
-122.1198274 37.4327993 0
-122.1183611 37.4334738 0
-122.1244378 37.4310883 0
-122.1246519 37.4308366 0
-122.1240132 37.4313765 0
-122.1238994 37.4305187 0
-122.1238994 37.4305187 0
-122.1242447 37.4307313 0
-122.1206448 37.4350025 0
-122.119999 37.4336625 0
-122.1189057 37.4321957 0
-122.1242003 37.4291532 0
-122.1211536 37.4327888 0
-122.1199113 37.4319771 0
-122.1213644 37.4311345 0
-122.1207816 37.4310162 0
-122.1351347 37.4318404 0
-122.1346577 37.4323256 0
-122.1333002 37.4336272 0
-122.1329765 37.4346378 0
-122.1311599 37.4351783 0
-122.1302996 37.4358039 0
-122.1297084 37.4363833 0
-122.1320316 37.4323201 0
-122.1311334 37.4322837 0
-122.130551 37.433103 0
-122.1265875 37.4290239 0
-122.1257905 37.4287382 0
