lon lat esw
-122.13050265999998 37.39471499989911 0
-122.12912305 37.39339064989893 0
-122.1275424 37.390056719898496 0
-122.12796759999999 37.390565366565234 0
-122.12853761666668 37.392966866565544 0
-122.13039315 37.39431769989906 1
-122.129258 37.39340219989894 1
-122.13038957499998 37.39499292489915 1
-122.12816084999999 37.391217924898655 1
-122.12905735833334 37.39416708323238 1
-122.12992165 37.39359904989897 2
-122.1292363 37.393088899898885 2
-122.1287928 37.39185879989874 2
-122.12960313333332 37.39490903323247 2
