lon lat cluster
-122.139172 37.4290348 0
-122.1391223 37.4290721 0
-122.1390895 37.4289792 0
-122.1390468 37.4290172 0
-122.1389894 37.4289256 0
-122.1389465 37.428498 0
-122.1389455 37.4289625 0
-122.1389331 37.4288754 0
-122.1389158 37.4282667 0
-122.1388985 37.4289203 0
-122.1388926 37.4282388 0
-122.1388894 37.4284403 0
-122.1388475 37.4282559 0
-122.1388444 37.4292997 0
-122.1388325 37.4280943 0
-122.1388125 37.4288121 0
-122.1388047 37.4282766 0
-122.1387944 37.4281394 0
-122.1387671 37.4282971 0
-122.1387625 37.4288533 0
-122.1387302 37.4287674 0
-122.1387297 37.4283354 0
-122.13871 37.4292151 0
-122.1387043 37.4281804 0
-122.1386733 37.4288099 0
-122.138633 37.4282051 0
-122.138613 37.4297339 0
-122.1385795 37.4287275 0
-122.1385713 37.4278147 0
-122.1385654 37.428705 0
-122.1385358 37.4286715 0
-122.1385141 37.4277596 0
-122.1385132 37.4278466 0
-122.1385072 37.4290927 0
-122.1385049 37.4286365 0
-122.138488 37.4286162 0
-122.1384763 37.4277035 0
-122.1384683 37.4296797 0
-122.1384618 37.4285866 0
-122.1383931 37.4284817 0
-122.1383899 37.4299994 0
-122.1383859 37.4290216 0
-122.1383707 37.4278166 0
-122.1383192 37.4283796 0
-122.1383103 37.427924 0
-122.1383045 37.4295714 0
-122.1383005 37.4275936 0
-122.1382718 37.4284039 0
-122.1382601 37.4278857 0
-122.138253 37.4285026 0
-122.1382261 37.4276483 0
-122.1382261 37.4276483 0
-122.1382209 37.4278327 0
-122.138217 37.4299169 0
-122.1382118 37.4275412 0
-122.1381898 37.4288511 0
-122.1381809 37.4294725 0
-122.1381479 37.427607 0
-122.1381451 37.4285513 0
-122.1381286 37.427988 0
-122.1381095 37.4276861 0
-122.1380976 37.4275196 0
-122.1380791 37.4297958 0
-122.1380692 37.4303668 0
-122.1380354 37.4274735 0
-122.1380194 37.4275805 0
-122.137968 37.4293437 0
-122.1379519 37.4275384 0
-122.1379511 37.4274319 0
-122.1379485 37.4286609 0
-122.1379452 37.428172 0
-122.1379173 37.4274145 0
-122.1379036 37.427665 0
-122.1379003 37.4296813 0
-122.1378688 37.4273927 0
-122.1378671 37.4302862 0
-122.1378494 37.4273814 0
-122.1378351 37.4280304 0
-122.1378228 37.4273639 0
-122.1377976 37.4273537 0
-122.1377842 37.4273389 0
-122.1377555 37.4306069 0
-122.1377478 37.430158 0
-122.1377255 37.4295654 0
-122.1377197 37.4291201 0
-122.1377174 37.4278934 0
-122.1376967 37.4272848 0
-122.1376805 37.4272764 0
-122.1376463 37.4272592 0
-122.1376264 37.430509 0
-122.137619 37.427242 0
-122.1375749 37.4300395 0
-122.1375718 37.4295002 0
-122.1375575 37.4288577 0
-122.1375424 37.4272282 0
-122.1375182 37.4283328 0
-122.1375076 37.4277493 0
-122.1374952 37.4271937 0
-122.1374897 37.4270915 0
-122.1374696 37.430426 0
-122.1374579 37.4309678 0
-122.1374444 37.4294012 0
-122.1374315 37.4270784 0
-122.1374294 37.427664 0
-122.1374164 37.4303961 0
-122.1373911 37.4284248 0
-122.1373902 37.4299843 0
-122.1373847 37.4289244 0
-122.1373728 37.4270551 0
-122.1373614 37.4293036 0
-122.1373395 37.4302736 0
-122.1373223 37.4271 0
-122.1372945 37.428132 0
-122.1372883 37.4290164 0
-122.1372837 37.4271347 0
-122.137274 37.4308644 0
-122.137258 37.4275969 0
-122.1372534 37.4284845 0
-122.1372517 37.4270417 0
-122.1372477 37.4281729 0
-122.1372342 37.4298413 0
-122.1372116 37.428086 0
-122.1371913 37.4271114 0
-122.1371902 37.428228 0
-122.1371771 37.431218 0
-122.1371711 37.4281247 0
-122.1371599 37.4270003 0
-122.1371522 37.4274846 0
-122.1371487 37.4301829 0
-122.1371215 37.4290798 0
-122.1371197 37.4281953 0
-122.1371188 37.430786 0
-122.1371181 37.4285756 0
-122.1370953 37.4269473 0
-122.137088 37.4270832 0
-122.1370803 37.426832 0
-122.13708 37.4297116 0
-122.1370712 37.4280894 0
-122.1370536 37.4311 0
-122.1370241 37.4270239 0
-122.1369824 37.4273945 0
-122.1369791 37.4301024 0
-122.1369719 37.4268817 0
-122.1369566 37.4280196 0
-122.1369492 37.4306502 0
-122.1369376 37.429625 0
-122.1369337 37.4286471 0
-122.1369281 37.42692 0
-122.1368876 37.4269509 0
-122.13688 37.4309572 0
-122.1368539 37.4315148 0
-122.1368482 37.4295309 0
-122.1368475 37.42699 0
-122.1368385 37.4266946 0
-122.136821 37.4279102 0
-122.1368199 37.4299615 0
-122.1368147 37.4300401 0
-122.1368104 37.4305734 0
-122.1367911 37.4272956 0
-122.1367886 37.4267412 0
-122.1367567 37.4293015 0
-122.1367551 37.4308997 0
-122.1367461 37.4267795 0
-122.1367383 37.4284347 0
-122.1367124 37.4279671 0
-122.1367118 37.4268155 0
-122.1366866 37.4278207 0
-122.1366802 37.4268512 0
-122.1366776 37.4265801 0
-122.1366467 37.4298906 0
-122.1366408 37.4271889 0
-122.1366407 37.4293826 0
-122.1366277 37.4266277 0
-122.1366168 37.4304384 0
-122.136588 37.4318297 0
-122.1365854 37.426665 0
-122.1365835 37.4313706 0
-122.1365825 37.4307937 0
-122.1365802 37.4283206 0
-122.1365409 37.4297794 0
-122.1365396 37.4267164 0
-122.1365145 37.4264831 0
-122.1365104 37.4277554 0
-122.1365012 37.4267546 0
-122.136492 37.4288942 0
-122.1364866 37.4271134 0
-122.1364857 37.4303638 0
-122.1364831 37.429489 0
-122.1364645 37.4265353 0
-122.1364328 37.431716 0
-122.1364238 37.4282078 0
-122.1364212 37.4265752 0
-122.1364202 37.4296751 0
-122.1364119 37.4276693 0
-122.1364004 37.4306738 0
-122.136389 37.4266164 0
-122.1363881 37.4312538 0
-122.1363477 37.4266527 0
-122.1363363 37.4289766 0
-122.1363137 37.4270021 0
-122.1363124 37.4314754 0
-122.1363106 37.4263553 0
-122.1362963 37.4316168 0
-122.1362927 37.4302449 0
-122.1362879 37.4295647 0
-122.1362876 37.427591 0
-122.1362805 37.4287205 0
-122.1362695 37.4263923 0
-122.1362468 37.4281371 0
-122.1362371 37.4264271 0
-122.1362298 37.4305823 0
-122.1362209 37.4263251 0
-122.1362192 37.4268633 0
-122.1361976 37.4263082 0
-122.1361847 37.4264775 0
-122.1361768 37.4263625 0
-122.1361695 37.4311241 0
-122.1361685 37.4262907 0
-122.1361677 37.4275204 0
-122.1361634 37.4286563 0
