lon lat cluster
-122.139172 37.4290348 0
-122.1388926 37.4282388 0
-122.1387302 37.4287674 0
-122.1385358 37.4286715 0
-122.1383899 37.4299994 0
-122.1382261 37.4276483 0
-122.1381095 37.4276861 0
-122.1379452 37.428172 0
-122.1377842 37.4273389 0
-122.137619 37.427242 0
-122.1374579 37.4309678 0
-122.1373395 37.4302736 0
-122.1372342 37.4298413 0
-122.1371197 37.4281953 0
-122.1369824 37.4273945 0
-122.1368539 37.4315148 0
-122.1367567 37.4293015 0
-122.1366408 37.4271889 0
-122.1365396 37.4267164 0
-122.1364238 37.4282078 0
-122.1363124 37.4314754 0
-122.1362298 37.4305823 0
-122.136163 37.4290875 0
-122.136007 37.4310245 0
-122.1359316 37.4262254 0
-122.1357813 37.4302841 0
-122.1357106 37.4272121 0
-122.1355836 37.4283079 0
-122.1355108 37.4294755 0
-122.1354152 37.4310357 0
-122.135306 37.4286977 0
-122.1351763 37.4259302 0
-122.1351053 37.4327912 0
-122.1349619 37.4297558 0
-122.134889 37.4272146 0
-122.1347856 37.4294726 0
-122.1347169 37.4335064 0
-122.1346339 37.4288653 0
-122.1345269 37.4282069 0
-122.1344469 37.42875 0
-122.1343841 37.4268989 0
-122.1342726 37.4309001 0
-122.1342382 37.4337056 0
-122.1341532 37.4262634 0
-122.1340942 37.4317863 0
-122.1340274 37.4273181 0
-122.1339152 37.4260535 0
-122.1338373 37.4308755 0
-122.1337634 37.4310434 0
-122.1337273 37.4326264 0
-122.1336089 37.4252819 0
-122.1335674 37.4246215 0
-122.1334992 37.4258683 0
-122.1334199 37.4245346 0
-122.1333517 37.4291988 0
-122.1332809 37.424672 0
-122.1331872 37.4273391 0
-122.1331004 37.4260976 0
-122.1330312 37.4295255 0
-122.1329451 37.4283349 0
-122.1328563 37.4246567 0
-122.1328076 37.4247051 0
-122.1327239 37.433578 0
-122.1326046 37.4337746 0
-122.1325066 37.4325364 0
-122.1324547 37.4239322 0
-122.1323767 37.4291156 0
-122.1323253 37.426789 0
-122.1322623 37.4249911 0
-122.1321878 37.4306139 0
-122.1321128 37.4243507 0
-122.1320712 37.4284355 0
-122.1320158 37.4309539 0
-122.1319633 37.4242487 0
-122.1319183 37.4237437 0
-122.1318314 37.4298296 0
-122.1317927 37.4240799 0
-122.1317199 37.4241555 0
-122.1316934 37.4253435 0
-122.131645 37.4248236 0
-122.1315957 37.4269204 0
-122.1315413 37.4235836 0
-122.1314758 37.4285409 0
-122.1314377 37.4326566 0
-122.1313984 37.4273751 0
-122.1313526 37.4237916 0
-122.1312899 37.429193 0
-122.131274 37.4327373 0
-122.1311995 37.4278192 0
-122.1311353 37.4242905 0
-122.1311012 37.4243273 0
-122.1310577 37.4293307 0
-122.1309942 37.4236217 0
-122.1309383 37.4333721 0
-122.1308622 37.4320842 0
-122.1308095 37.4242495 0
-122.1307686 37.42412 0
-122.1306878 37.4297601 0
-122.1306381 37.428659 0
-122.1305691 37.4240105 0
-122.1305493 37.4232651 0
-122.1304584 37.4227278 0
-122.130381 37.427873 0
-122.130315 37.4317832 0
-122.1302266 37.4239654 0
-122.1302266 37.4239654 0
-122.1301703 37.4272189 0
-122.1300771 37.4271488 0
-122.1299892 37.4264802 0
-122.1299251 37.4286513 0
-122.1298614 37.4311077 0
-122.1297529 37.4295356 0
-122.1296426 37.4262432 0
-122.1295845 37.4340137 0
-122.1295446 37.423707 0
-122.1294576 37.4293228 0
-122.1293854 37.4331055 0
-122.1293253 37.433066 0
-122.1292325 37.4230799 0
-122.1291603 37.4291303 0
-122.1290841 37.4223624 0
-122.1290156 37.4218387 0
-122.1289692 37.4233522 0
-122.1288978 37.4324355 0
-122.1288497 37.4218042 0
-122.1287778 37.4268755 0
-122.1287197 37.4226636 0
-122.1286879 37.4221126 0
-122.1286199 37.4284534 0
-122.1285597 37.4322857 0
-122.1285134 37.4214664 0
-122.1284244 37.4219329 0
-122.1283696 37.4283018 0
-122.1282956 37.4229434 0
-122.1282006 37.4212337 0
-122.1281395 37.4329601 0
-122.1280721 37.4335859 0
-122.1280092 37.4227611 0
-122.1279202 37.4210655 0
-122.127814 37.4275141 0
-122.1277576 37.4337351 0
-122.1276792 37.4282941 0
-122.1276274 37.4231533 0
-122.1275516 37.4241613 0
-122.1274751 37.4231049 0
-122.1273724 37.422323 0
-122.1273076 37.4234474 0
-122.1272148 37.4334928 0
-122.1271153 37.4276533 0
-122.1270931 37.4322773 0
-122.1270457 37.420613 0
-122.1269693 37.4254936 0
-122.1269288 37.4231777 0
-122.1268251 37.4248636 0
-122.1267894 37.4256287 0
-122.1267376 37.4204387 0
-122.1266727 37.4240806 0
-122.1266194 37.4214532 0
-122.126559 37.4260346 0
-122.1264917 37.4253118 0
-122.1264592 37.4328101 0
-122.1264135 37.4239311 0
-122.1263846 37.4339561 0
-122.1263649 37.4318444 0
-122.126313 37.4270277 0
-122.1262432 37.428834 0
-122.126214 37.420062 0
-122.126164 37.4321158 0
-122.126133 37.4271425 0
-122.126103 37.4340304 0
-122.126068 37.4199458 0
-122.1260385 37.4266601 1
-122.1260108 37.422049 1
-122.1259689 37.4324834 1
-122.125922 37.4230923 1
-122.125883 37.4324279 1
-122.1258512 37.4204257 1
-122.1258257 37.4332215 1
-122.1257863 37.4200794 1
-122.1257308 37.4210263 1
-122.1256982 37.4224006 1
-122.1256526 37.4199802 1
-122.1256331 37.4199633 1
-122.1255875 37.4323894 1
-122.1255617 37.4290374 1
-122.1255221 37.422349 1
-122.1254922 37.4268073 1
-122.1254584 37.4312976 1
-122.1254302 37.425025 1
-122.1253842 37.4196983 1
-122.1253425 37.4232709 1
-122.1253214 37.4197812 1
-122.1252876 37.4197626 1
-122.1252504 37.420474 1
-122.1252079 37.4324115 1
-122.1251824 37.4199008 1
-122.1251405 37.4200393 1
-122.125116 37.4195704 1
-122.1250823 37.4200001 1
-122.1250446 37.4205623 1
-122.1250232 37.4199246 1
-122.1250043 37.4259617 1
-122.1249618 37.4198491 1
-122.1249333 37.4197503 1
-122.1249022 37.4334673 1
-122.1248644 37.4219249 1
-122.1248267 37.4292372 1
-122.1247987 37.4203779 1
-122.1247707 37.4204088 1
-122.1247043 37.4314042 1
-122.1246734 37.4196738 1
-122.1246519 37.4308366 1
-122.1246172 37.4197299 1
-122.1245573 37.421251 1
-122.1245214 37.4199468 1
-122.1244773 37.420224 1
-122.1244622 37.4189579 1
-122.1244622 37.4189579 1
-122.1244378 37.4310883 1
-122.1244028 37.4221746 1
-122.124353 37.428198 1
-122.1243198 37.4201327 1
-122.1242772 37.4330117 1
-122.1242447 37.4307313 1
-122.1242447 37.4307313 1
-122.1242447 37.4307313 1
-122.1242253 37.419441 1
-122.1241666 37.4203933 1
-122.1241015 37.4198867 1
-122.1240181 37.4337189 1
-122.1239964 37.4240762 1
-122.1239307 37.4186001 1
-122.1238994 37.4305187 1
-122.1238994 37.4305187 1
-122.1238994 37.4305187 1
-122.1238929 37.4201701 1
-122.1238815 37.4186393 1
-122.1238338 37.4189799 1
-122.1238077 37.4239821 1
-122.1237753 37.4185024 1
-122.1237362 37.4207114 1
-122.123691 37.4238932 1
-122.1236262 37.4292788 1
-122.1235968 37.430568 1
-122.1235257 37.4197593 1
-122.1234938 37.428273 1
-122.1234305 37.4294126 1
-122.1233488 37.4305498 1
-122.1233237 37.4277807 1
-122.1233154 37.4182622 1
-122.1232957 37.4308223 1
-122.1232355 37.4208597 1
-122.1231844 37.4283917 1
-122.1231204 37.4229141 1
-122.12307 37.4297689 1
-122.1230276 37.4338955 1
-122.1229499 37.4207188 1
-122.122906 37.4282189 1
-122.1228409 37.4183955 1
-122.1227781 37.4227324 1
-122.1227223 37.4308637 1
-122.1227223 37.4308637 1
-122.1227223 37.4308637 1
-122.1227027 37.4317926 1
-122.1226706 37.4298871 1
-122.1226489 37.4262324 1
-122.1225696 37.4246615 1
-122.1225526 37.4231731 1
-122.1224743 37.4316112 1
-122.1224157 37.4254695 1
-122.1223758 37.431172 1
-122.1223456 37.430088 1
-122.1223023 37.4286945 1
-122.1222556 37.4230491 1
-122.1222026 37.4197796 1
-122.1221431 37.420774 1
-122.1220871 37.4268165 1
-122.1220536 37.4317249 1
-122.122036 37.4298379 1
-122.121999 37.4331209 1
-122.1219392 37.4209473 1
-122.1218872 37.4216228 1
-122.1218352 37.4306339 1
-122.1217737 37.4299401 1
-122.1217381 37.4226638 1
-122.1216946 37.4253441 1
-122.1216293 37.4308405 1
